trigger,target,stop,time_limit,trades,tp_rate,sl_rate,timeout_rate,win_rate,total_pnl,avg_pnl,loss_avg,profit_factor,expect_val,sharpe,section
08:46,15,15,20,242,57.9,41.7,0.4,57.9,-3830,-16.0,-18.9,0.8,-15.8,-1.7,08:46
08:46,15,20,20,242,60.3,39.3,0.4,60.3,-6780,-28.0,-23.8,0.7,-28.0,-2.6,08:46
08:46,15,30,20,242,66.9,32.2,0.8,66.9,-8910,-37.0,-33.4,0.67,-36.8,-2.78,08:46
08:46,20,0,3,242,53.3,0.0,46.7,57.9,-9150,-38.0,-26.4,0.82,-37.8,-2.03,08:46
08:46,20,5,3,242,43.8,55.4,0.8,44.2,4990,21.0,-8.8,1.44,20.6,2.64,08:46
08:46,20,10,3,242,45.0,52.5,2.5,46.7,-10,-0.0,-13.1,1.05,-0.0,-0.0,08:46
08:46,20,15,3,242,45.9,48.8,5.4,47.9,-4480,-19.0,-17.0,0.86,-18.5,-1.71,08:46
08:46,20,20,3,242,47.5,42.6,9.9,50.0,-7090,-29.0,-20.1,0.79,-29.3,-2.43,08:46
08:46,20,30,3,242,49.6,28.1,22.3,53.7,-8240,-34.0,-22.5,0.81,-34.0,-2.46,08:46
08:46,20,0,5,242,59.9,0.0,40.1,64.9,-9220,-38.0,-33.4,0.84,-38.1,-1.88,08:46
08:46,20,5,5,242,44.2,55.4,0.4,44.2,5020,21.0,-9.0,1.41,20.7,2.65,08:46
08:46,20,10,5,242,45.9,52.5,1.7,47.1,170,1.0,-13.4,1.05,0.7,0.07,08:46
08:46,20,15,5,242,47.1,48.8,4.1,49.6,-4140,-17.0,-17.5,0.88,-17.1,-1.57,08:46
08:46,20,20,5,242,49.2,43.8,7.0,52.5,-6940,-29.0,-21.1,0.8,-28.7,-2.34,08:46
08:46,20,30,5,242,54.5,30.6,14.9,59.1,-7370,-30.0,-25.9,0.85,-30.5,-2.12,08:46
08:46,20,0,10,242,65.3,0.0,34.7,66.9,-9900,-41.0,-41.9,0.77,-40.9,-1.84,08:46
08:46,20,5,10,242,44.2,55.4,0.4,44.2,5020,21.0,-9.0,1.41,20.7,2.65,08:46
08:46,20,10,10,242,46.7,52.5,0.8,47.1,270,1.0,-13.8,1.02,1.1,0.12,08:46
08:46,20,15,10,242,49.2,49.6,1.2,49.6,-3810,-16.0,-18.6,0.84,-15.7,-1.43,08:46
08:46,20,20,10,242,52.1,46.3,1.7,52.5,-6940,-29.0,-23.4,0.75,-28.7,-2.29,08:46
08:46,20,30,10,242,57.9,34.7,7.4,59.1,-7930,-33.0,-29.7,0.77,-32.8,-2.2,08:46
08:46,20,0,15,242,68.2,0.0,31.8,71.1,-11410,-47.0,-49.1,0.79,-47.1,-1.95,08:46
08:46,20,5,15,242,44.2,55.4,0.4,44.2,5020,21.0,-9.0,1.41,20.7,2.65,08:46
08:46,20,10,15,242,46.7,52.5,0.8,47.1,410,2.0,-13.7,1.04,1.7,0.18,08:46
08:46,20,15,15,242,49.6,49.6,0.8,50.0,-3490,-14.0,-18.6,0.86,-14.4,-1.31,08:46
08:46,20,20,15,242,52.5,46.7,0.8,52.9,-6690,-28.0,-23.5,0.76,-27.6,-2.2,08:46
08:46,20,30,15,242,59.5,36.4,4.1,60.3,-7600,-31.0,-31.3,0.77,-31.4,-2.08,08:46
08:46,20,0,20,242,75.2,0.0,24.8,76.4,-7990,-33.0,-61.8,0.83,-33.0,-1.22,08:46
08:46,20,5,20,242,44.2,55.4,0.4,44.2,5020,21.0,-9.0,1.41,20.7,2.65,08:46
08:46,20,10,20,242,47.1,52.5,0.4,47.1,420,2.0,-13.9,1.02,1.7,0.18,08:46
08:46,20,15,20,242,50.0,49.6,0.4,50.0,-3480,-14.0,-18.9,0.85,-14.4,-1.3,08:46
08:46,20,20,20,242,52.9,46.7,0.4,52.9,-6680,-28.0,-23.8,0.75,-27.6,-2.2,08:46
08:46,20,30,20,242,60.3,38.4,1.2,60.3,-8560,-35.0,-33.2,0.73,-35.4,-2.31,08:46
08:46,25,0,3,242,44.2,0.0,55.8,53.3,-8110,-34.0,-22.7,0.99,-33.5,-1.71,08:46
08:46,25,5,3,242,33.9,64.0,2.1,35.1,3550,15.0,-8.5,1.31,14.7,1.64,08:46
08:46,25,10,3,242,36.0,58.7,5.4,39.7,-720,-3.0,-12.3,1.08,-3.0,-0.28,08:46
08:46,25,15,3,242,38.4,53.3,8.3,42.6,-4240,-18.0,-16.0,0.94,-17.5,-1.45,08:46
08:46,25,20,3,242,38.8,46.7,14.5,45.0,-7130,-29.0,-18.2,0.9,-29.5,-2.21,08:46
08:46,25,30,3,242,40.9,30.6,28.5,48.8,-8400,-35.0,-20.4,0.91,-34.7,-2.29,08:46
08:46,25,0,5,242,52.9,0.0,47.1,60.3,-7670,-32.0,-30.3,0.96,-31.7,-1.49,08:46
08:46,25,5,5,242,35.1,64.0,0.8,35.5,3880,16.0,-8.9,1.29,16.0,1.78,08:46
08:46,25,10,5,242,38.8,58.7,2.5,40.5,10,0.0,-13.3,1.04,0.0,0.0,08:46
08:46,25,15,5,242,41.3,53.3,5.4,44.6,-3500,-14.0,-17.3,0.93,-14.5,-1.18,08:46
08:46,25,20,5,242,43.8,47.9,8.3,47.9,-6150,-25.0,-20.9,0.87,-25.4,-1.86,08:46
08:46,25,30,5,242,47.9,33.1,19.0,54.5,-6500,-27.0,-24.5,0.93,-26.9,-1.7,08:46
08:46,25,0,10,242,59.1,0.0,40.9,61.6,-8470,-35.0,-38.9,0.86,-35.0,-1.47,08:46
08:46,25,5,10,242,35.1,64.0,0.8,35.5,3990,16.0,-8.8,1.31,16.5,1.83,08:46
08:46,25,10,10,242,39.7,59.1,1.2,40.5,240,1.0,-13.6,1.03,1.0,0.09,08:46
08:46,25,15,10,242,43.4,54.5,2.1,44.2,-2960,-12.0,-18.3,0.9,-12.2,-0.98,08:46
08:46,25,20,10,242,46.7,50.8,2.5,47.5,-5890,-24.0,-23.0,0.82,-24.3,-1.73,08:46
08:46,25,30,10,242,51.7,37.6,10.7,53.3,-6860,-28.0,-28.3,0.84,-28.3,-1.73,08:46
08:46,25,0,15,242,62.8,0.0,37.2,66.5,-10550,-44.0,-47.2,0.86,-43.6,-1.66,08:46
08:46,25,5,15,242,35.5,64.0,0.4,35.5,4070,17.0,-9.0,1.29,16.8,1.86,08:46
08:46,25,10,15,242,40.1,59.1,0.8,40.5,460,2.0,-13.7,1.04,1.9,0.18,08:46
08:46,25,15,15,242,43.8,55.0,1.2,44.6,-2770,-11.0,-18.4,0.91,-11.4,-0.92,08:46
08:46,25,20,15,242,47.1,51.7,1.2,47.9,-5820,-24.0,-23.2,0.83,-24.0,-1.7,08:46
08:46,25,30,15,242,53.7,39.7,6.6,55.4,-6600,-27.0,-30.3,0.85,-27.3,-1.63,08:46
08:46,25,0,20,242,69.8,0.0,30.2,72.3,-6260,-26.0,-57.2,0.94,-25.9,-0.88,08:46
08:46,25,5,20,242,35.5,64.0,0.4,35.5,4070,17.0,-9.0,1.29,16.8,1.86,08:46
08:46,25,10,20,242,40.5,59.1,0.4,40.5,520,2.0,-13.9,1.03,2.1,0.2,08:46
08:46,25,15,20,242,44.6,55.0,0.4,44.6,-2630,-11.0,-18.9,0.9,-10.9,-0.87,08:46
08:46,25,20,20,242,47.9,51.7,0.4,47.9,-5680,-23.0,-23.8,0.81,-23.5,-1.66,08:46
08:46,25,30,20,242,55.8,42.6,1.7,55.8,-7090,-29.0,-33.1,0.8,-29.3,-1.72,08:46
08:46,30,0,3,242,37.2,0.0,62.8,51.2,-7310,-30.0,-20.2,1.19,-30.2,-1.45,08:46
08:46,30,5,3,242,28.1,69.4,2.5,29.8,2990,12.0,-8.4,1.27,12.4,1.24,08:46
08:46,30,10,3,242,29.3,63.2,7.4,35.1,-1200,-5.0,-11.5,1.13,-5.0,-0.43,08:46
08:46,30,15,3,242,31.4,56.6,12.0,39.3,-4070,-17.0,-14.4,1.07,-16.8,-1.28,08:46
08:46,30,20,3,242,32.2,49.6,18.2,42.1,-6810,-28.0,-16.5,1.02,-28.1,-1.95,08:46
08:46,30,30,3,242,34.3,32.6,33.1,46.7,-7460,-31.0,-18.3,1.09,-30.8,-1.89,08:46
08:46,30,0,5,242,44.6,0.0,55.4,57.9,-6880,-28.0,-26.1,1.18,-28.4,-1.25,08:46
08:46,30,5,5,242,28.9,69.4,1.7,30.2,3470,14.0,-8.6,1.29,14.3,1.43,08:46
08:46,30,10,5,242,32.2,63.2,4.5,36.0,40,0.0,-12.3,1.13,0.2,0.01,08:46
08:46,30,15,5,242,35.5,56.6,7.9,40.9,-2810,-12.0,-16.1,1.03,-11.6,-0.86,08:46
