result,pnl,tick,time_window,date,month,stock
TP,2838.6200000000003,1,5,2026-03-02,2026-03,3324
TP,2838.6200000000003,1,10,2026-03-02,2026-03,3324
TP,2838.6200000000003,1,15,2026-03-02,2026-03,3324
TP,7838.620000000001,2,5,2026-03-02,2026-03,3324
TP,7838.620000000001,2,10,2026-03-02,2026-03,3324
TP,7838.620000000001,2,15,2026-03-02,2026-03,3324
TP,12838.62,3,5,2026-03-02,2026-03,3324
TP,12838.62,3,10,2026-03-02,2026-03,3324
TP,12838.62,3,15,2026-03-02,2026-03,3324
TIMEOUT,12838.62,5,5,2026-03-02,2026-03,3324
TP,22838.62,5,10,2026-03-02,2026-03,3324
TP,22838.62,5,15,2026-03-02,2026-03,3324
TIMEOUT,12838.62,8,5,2026-03-02,2026-03,3324
TP,37838.62,8,10,2026-03-02,2026-03,3324
TP,37838.62,8,15,2026-03-02,2026-03,3324
TP,292.664,1,5,2026-03-02,2026-03,9917
TP,292.664,1,10,2026-03-02,2026-03,9917
TP,292.664,1,15,2026-03-02,2026-03,9917
TIMEOUT,292.664,2,5,2026-03-02,2026-03,9917
TP,792.664,2,10,2026-03-02,2026-03,9917
TP,792.664,2,15,2026-03-02,2026-03,9917
TIMEOUT,292.664,3,5,2026-03-02,2026-03,9917
TIMEOUT,792.664,3,10,2026-03-02,2026-03,9917
TIMEOUT,292.664,3,15,2026-03-02,2026-03,9917
TIMEOUT,292.664,5,5,2026-03-02,2026-03,9917
TIMEOUT,792.664,5,10,2026-03-02,2026-03,9917
TIMEOUT,292.664,5,15,2026-03-02,2026-03,9917
TIMEOUT,292.664,8,5,2026-03-02,2026-03,9917
TIMEOUT,792.664,8,10,2026-03-02,2026-03,9917
TIMEOUT,292.664,8,15,2026-03-02,2026-03,9917
TIMEOUT,-1340.344,1,5,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,1,10,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,1,15,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,2,5,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,2,10,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,2,15,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,3,5,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,3,10,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,3,15,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,5,5,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,5,10,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,5,15,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,8,5,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,8,10,2026-03-02,2026-03,2597
TIMEOUT,-1340.344,8,15,2026-03-02,2026-03,2597
TIMEOUT,-871.64,1,5,2026-03-02,2026-03,2474
TIMEOUT,-871.64,1,10,2026-03-02,2026-03,2474
TP,128.36,1,15,2026-03-02,2026-03,2474
TIMEOUT,-871.64,2,5,2026-03-02,2026-03,2474
TIMEOUT,-871.64,2,10,2026-03-02,2026-03,2474
TP,628.36,2,15,2026-03-02,2026-03,2474
TIMEOUT,-871.64,3,5,2026-03-02,2026-03,2474
TIMEOUT,-871.64,3,10,2026-03-02,2026-03,2474
TIMEOUT,128.36,3,15,2026-03-02,2026-03,2474
TIMEOUT,-871.64,5,5,2026-03-02,2026-03,2474
TIMEOUT,-871.64,5,10,2026-03-02,2026-03,2474
TIMEOUT,128.36,5,15,2026-03-02,2026-03,2474
TIMEOUT,-871.64,8,5,2026-03-02,2026-03,2474
TIMEOUT,-871.64,8,10,2026-03-02,2026-03,2474
TIMEOUT,128.36,8,15,2026-03-02,2026-03,2474
TP,275.06000000000006,1,5,2026-03-02,2026-03,3005
TP,275.06000000000006,1,10,2026-03-02,2026-03,3005
TP,275.06000000000006,1,15,2026-03-02,2026-03,3005
TP,775.0600000000001,2,5,2026-03-02,2026-03,3005
TP,775.0600000000001,2,10,2026-03-02,2026-03,3005
TP,775.0600000000001,2,15,2026-03-02,2026-03,3005
TP,1275.06,3,5,2026-03-02,2026-03,3005
TP,1275.06,3,10,2026-03-02,2026-03,3005
TP,1275.06,3,15,2026-03-02,2026-03,3005
TP,2275.06,5,5,2026-03-02,2026-03,3005
TP,2275.06,5,10,2026-03-02,2026-03,3005
TP,2275.06,5,15,2026-03-02,2026-03,3005
TP,3775.06,8,5,2026-03-02,2026-03,3005
TP,3775.06,8,10,2026-03-02,2026-03,3005
TP,3775.06,8,15,2026-03-02,2026-03,3005
TP,290.708,1,5,2026-03-02,2026-03,3045
TP,290.708,1,10,2026-03-02,2026-03,3045
TP,290.708,1,15,2026-03-02,2026-03,3045
TIMEOUT,290.708,2,5,2026-03-02,2026-03,3045
TIMEOUT,-209.29199999999997,2,10,2026-03-02,2026-03,3045
TIMEOUT,-209.29199999999997,2,15,2026-03-02,2026-03,3045
TIMEOUT,290.708,3,5,2026-03-02,2026-03,3045
TIMEOUT,-209.29199999999997,3,10,2026-03-02,2026-03,3045
TIMEOUT,-209.29199999999997,3,15,2026-03-02,2026-03,3045
TIMEOUT,290.708,5,5,2026-03-02,2026-03,3045
TIMEOUT,-209.29199999999997,5,10,2026-03-02,2026-03,3045
TIMEOUT,-209.29199999999997,5,15,2026-03-02,2026-03,3045
TIMEOUT,290.708,8,5,2026-03-02,2026-03,3045
TIMEOUT,-209.29199999999997,8,10,2026-03-02,2026-03,3045
TIMEOUT,-209.29199999999997,8,15,2026-03-02,2026-03,3045
TP,251.58800000000002,1,5,2026-03-02,2026-03,5347
TP,251.58800000000002,1,10,2026-03-02,2026-03,5347
TP,251.58800000000002,1,15,2026-03-02,2026-03,5347
TP,751.588,2,5,2026-03-02,2026-03,5347
TP,751.588,2,10,2026-03-02,2026-03,5347
TP,751.588,2,15,2026-03-02,2026-03,5347
TP,1251.588,3,5,2026-03-02,2026-03,5347
TP,1251.588,3,10,2026-03-02,2026-03,5347
TP,1251.588,3,15,2026-03-02,2026-03,5347
TIMEOUT,1251.588,5,5,2026-03-02,2026-03,5347
TIMEOUT,751.588,5,10,2026-03-02,2026-03,5347
TP,2251.588,5,15,2026-03-02,2026-03,5347
TIMEOUT,1251.588,8,5,2026-03-02,2026-03,5347
TIMEOUT,751.588,8,10,2026-03-02,2026-03,5347
TIMEOUT,1751.588,8,15,2026-03-02,2026-03,5347
TP,296.576,1,5,2026-03-02,2026-03,5871
TP,296.576,1,10,2026-03-02,2026-03,5871
TP,296.576,1,15,2026-03-02,2026-03,5871
TP,796.576,2,5,2026-03-02,2026-03,5871
TP,796.576,2,10,2026-03-02,2026-03,5871
TP,796.576,2,15,2026-03-02,2026-03,5871
TIMEOUT,-203.424,3,5,2026-03-02,2026-03,5871
TIMEOUT,-203.424,3,10,2026-03-02,2026-03,5871
TIMEOUT,-1203.424,3,15,2026-03-02,2026-03,5871
TIMEOUT,-203.424,5,5,2026-03-02,2026-03,5871
TIMEOUT,-203.424,5,10,2026-03-02,2026-03,5871
TIMEOUT,-1203.424,5,15,2026-03-02,2026-03,5871
TIMEOUT,-203.424,8,5,2026-03-02,2026-03,5871
TIMEOUT,-203.424,8,10,2026-03-02,2026-03,5871
TIMEOUT,-1203.424,8,15,2026-03-02,2026-03,5871
TP,242.786,1,5,2026-03-02,2026-03,3231
TP,242.786,1,10,2026-03-02,2026-03,3231
TP,242.786,1,15,2026-03-02,2026-03,3231
TP,742.7860000000001,2,5,2026-03-02,2026-03,3231
TP,742.7860000000001,2,10,2026-03-02,2026-03,3231
TP,742.7860000000001,2,15,2026-03-02,2026-03,3231
TP,1242.786,3,5,2026-03-02,2026-03,3231
TP,1242.786,3,10,2026-03-02,2026-03,3231
TP,1242.786,3,15,2026-03-02,2026-03,3231
TIMEOUT,742.7860000000001,5,5,2026-03-02,2026-03,3231
TIMEOUT,1242.786,5,10,2026-03-02,2026-03,3231
TP,2242.786,5,15,2026-03-02,2026-03,3231
TIMEOUT,742.7860000000001,8,5,2026-03-02,2026-03,3231
TIMEOUT,1242.786,8,10,2026-03-02,2026-03,3231
TIMEOUT,2742.786,8,15,2026-03-02,2026-03,3231
TIMEOUT,-764.06,1,5,2026-03-02,2026-03,2412
TIMEOUT,-764.06,1,10,2026-03-02,2026-03,2412
TIMEOUT,-764.06,1,15,2026-03-02,2026-03,2412
TIMEOUT,-764.06,2,5,2026-03-02,2026-03,2412
TIMEOUT,-764.06,2,10,2026-03-02,2026-03,2412
TIMEOUT,-764.06,2,15,2026-03-02,2026-03,2412
TIMEOUT,-764.06,3,5,2026-03-02,2026-03,2412
TIMEOUT,-764.06,3,10,2026-03-02,2026-03,2412
TIMEOUT,-764.06,3,15,2026-03-02,2026-03,2412
TIMEOUT,-764.06,5,5,2026-03-02,2026-03,2412
TIMEOUT,-764.06,5,10,2026-03-02,2026-03,2412
TIMEOUT,-764.06,5,15,2026-03-02,2026-03,2412
TIMEOUT,-764.06,8,5,2026-03-02,2026-03,2412
TIMEOUT,-764.06,8,10,2026-03-02,2026-03,2412
TIMEOUT,-764.06,8,15,2026-03-02,2026-03,2412
TP,297.554,1,5,2026-03-02,2026-03,1815
TP,297.554,1,10,2026-03-02,2026-03,1815
TP,297.554,1,15,2026-03-02,2026-03,1815
TP,797.554,2,5,2026-03-02,2026-03,1815
TP,797.554,2,10,2026-03-02,2026-03,1815
TP,797.554,2,15,2026-03-02,2026-03,1815
TP,1297.554,3,5,2026-03-02,2026-03,1815
TP,1297.554,3,10,2026-03-02,2026-03,1815
TP,1297.554,3,15,2026-03-02,2026-03,1815
TIMEOUT,297.554,5,5,2026-03-02,2026-03,1815
TP,2297.554,5,10,2026-03-02,2026-03,1815
TP,2297.554,5,15,2026-03-02,2026-03,1815
TIMEOUT,297.554,8,5,2026-03-02,2026-03,1815
TIMEOUT,2297.554,8,10,2026-03-02,2026-03,1815
TIMEOUT,3297.554,8,15,2026-03-02,2026-03,1815
TP,255.50000000000003,1,5,2026-03-03,2026-03,3005
TP,255.50000000000003,1,10,2026-03-03,2026-03,3005
TP,255.50000000000003,1,15,2026-03-03,2026-03,3005
TP,755.5,2,5,2026-03-03,2026-03,3005
TP,755.5,2,10,2026-03-03,2026-03,3005
TP,755.5,2,15,2026-03-03,2026-03,3005
TP,1255.5,3,5,2026-03-03,2026-03,3005
TP,1255.5,3,10,2026-03-03,2026-03,3005
TP,1255.5,3,15,2026-03-03,2026-03,3005
TIMEOUT,-1244.5,5,5,2026-03-03,2026-03,3005
TIMEOUT,-1244.5,5,10,2026-03-03,2026-03,3005
TIMEOUT,255.50000000000003,5,15,2026-03-03,2026-03,3005
TIMEOUT,-1244.5,8,5,2026-03-03,2026-03,3005
TIMEOUT,-1244.5,8,10,2026-03-03,2026-03,3005
TIMEOUT,255.50000000000003,8,15,2026-03-03,2026-03,3005
TP,1479.2000000000003,1,5,2026-03-03,2026-03,3491
TP,1479.2000000000003,1,10,2026-03-03,2026-03,3491
TP,1479.2000000000003,1,15,2026-03-03,2026-03,3491
TP,6479.200000000001,2,5,2026-03-03,2026-03,3491
TP,6479.200000000001,2,10,2026-03-03,2026-03,3491
TP,6479.200000000001,2,15,2026-03-03,2026-03,3491
TP,11479.2,3,5,2026-03-03,2026-03,3491
TP,11479.2,3,10,2026-03-03,2026-03,3491
TP,11479.2,3,15,2026-03-03,2026-03,3491
TP,21479.2,5,5,2026-03-03,2026-03,3491
TP,21479.2,5,10,2026-03-03,2026-03,3491
TP,21479.2,5,15,2026-03-03,2026-03,3491
TP,36479.2,8,5,2026-03-03,2026-03,3491
TP,36479.2,8,10,2026-03-03,2026-03,3491
TP,36479.2,8,15,2026-03-03,2026-03,3491
TP,272.126,1,5,2026-03-03,2026-03,2337
TP,272.126,1,10,2026-03-03,2026-03,2337
TP,272.126,1,15,2026-03-03,2026-03,2337
TIMEOUT,-1727.874,2,5,2026-03-03,2026-03,2337
TP,772.126,2,10,2026-03-03,2026-03,2337
TP,772.126,2,15,2026-03-03,2026-03,2337
TIMEOUT,-1727.874,3,5,2026-03-03,2026-03,2337
TIMEOUT,772.126,3,10,2026-03-03,2026-03,2337
TIMEOUT,-1727.874,3,15,2026-03-03,2026-03,2337
TIMEOUT,-1727.874,5,5,2026-03-03,2026-03,2337
TIMEOUT,772.126,5,10,2026-03-03,2026-03,2337
TIMEOUT,-1727.874,5,15,2026-03-03,2026-03,2337
TIMEOUT,-1727.874,8,5,2026-03-03,2026-03,2337
TIMEOUT,772.126,8,10,2026-03-03,2026-03,2337
TIMEOUT,-1727.874,8,15,2026-03-03,2026-03,2337
TIMEOUT,-27425.44,1,5,2026-03-03,2026-03,1590
TIMEOUT,-22425.44,1,10,2026-03-03,2026-03,1590
TIMEOUT,-32425.44,1,15,2026-03-03,2026-03,1590
TIMEOUT,-27425.44,2,5,2026-03-03,2026-03,1590
TIMEOUT,-22425.44,2,10,2026-03-03,2026-03,1590
TIMEOUT,-32425.44,2,15,2026-03-03,2026-03,1590
TIMEOUT,-27425.44,3,5,2026-03-03,2026-03,1590
TIMEOUT,-22425.44,3,10,2026-03-03,2026-03,1590
TIMEOUT,-32425.44,3,15,2026-03-03,2026-03,1590
TIMEOUT,-27425.44,5,5,2026-03-03,2026-03,1590
TIMEOUT,-22425.44,5,10,2026-03-03,2026-03,1590
TIMEOUT,-32425.44,5,15,2026-03-03,2026-03,1590
TIMEOUT,-27425.44,8,5,2026-03-03,2026-03,1590
TIMEOUT,-22425.44,8,10,2026-03-03,2026-03,1590
