result,pnl,tick,time_window,entry,date,month
TIMEOUT,1100.7240000000002,10,15,971.0,2024-09-23,2024-09
TIMEOUT,100.72400000000016,10,20,971.0,2024-09-23,2024-09
TIMEOUT,2100.724,10,30,971.0,2024-09-23,2024-09
TIMEOUT,100.72400000000016,15,5,971.0,2024-09-23,2024-09
TIMEOUT,-899.2759999999998,15,10,971.0,2024-09-23,2024-09
TIMEOUT,1100.7240000000002,15,15,971.0,2024-09-23,2024-09
TIMEOUT,100.72400000000016,15,20,971.0,2024-09-23,2024-09
TIMEOUT,2100.724,15,30,971.0,2024-09-23,2024-09
TP,3024.4400000000005,1,5,1010.0,2024-09-26,2024-09
TP,3024.4400000000005,1,10,1010.0,2024-09-26,2024-09
TP,3024.4400000000005,1,15,1010.0,2024-09-26,2024-09
TP,3024.4400000000005,1,20,1010.0,2024-09-26,2024-09
TP,3024.4400000000005,1,30,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,2,5,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,2,10,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,2,15,1010.0,2024-09-26,2024-09
TIMEOUT,-6975.5599999999995,2,20,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,2,30,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,3,5,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,3,10,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,3,15,1010.0,2024-09-26,2024-09
TIMEOUT,-6975.5599999999995,3,20,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,3,30,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,5,5,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,5,10,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,5,15,1010.0,2024-09-26,2024-09
TIMEOUT,-6975.5599999999995,5,20,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,5,30,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,8,5,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,8,10,1010.0,2024-09-26,2024-09
TIMEOUT,-1975.5599999999997,8,15,1010.0,2024-09-26,2024-09
TIMEOUT,-6975.5599999999995,8,20,1010.0,2024-09-26,2024-09
