result,pnl,tick,date,month,stock
TP,182.15000000000003,1,2026-04-20,2026-04,2597
TP,682.1500000000001,2,2026-04-20,2026-04,2597
TP,1182.15,3,2026-04-20,2026-04,2597
TIMEOUT,-4817.85,5,2026-04-20,2026-04,2597
TIMEOUT,-4817.85,8,2026-04-20,2026-04,2597
TP,248.65400000000005,1,2026-04-20,2026-04,1815
TP,748.654,2,2026-04-20,2026-04,1815
TIMEOUT,-10751.346,3,2026-04-20,2026-04,1815
TIMEOUT,-10751.346,5,2026-04-20,2026-04,1815
TIMEOUT,-10751.346,8,2026-04-20,2026-04,1815
TP,2506.1,1,2026-04-20,2026-04,6187
TP,7506.1,2,2026-04-20,2026-04,6187
TP,12506.1,3,2026-04-20,2026-04,6187
TIMEOUT,-52493.9,5,2026-04-20,2026-04,6187
TIMEOUT,-52493.9,8,2026-04-20,2026-04,6187
TP,193.88600000000002,1,2026-04-20,2026-04,1785
TP,693.886,2,2026-04-20,2026-04,1785
TP,1193.886,3,2026-04-20,2026-04,1785
TP,2193.886,5,2026-04-20,2026-04,1785
TP,3693.886,8,2026-04-20,2026-04,1785
TP,275.06000000000006,1,2026-04-20,2026-04,2481
TP,775.0600000000001,2,2026-04-20,2026-04,2481
TP,1275.06,3,2026-04-20,2026-04,2481
TP,2275.06,5,2026-04-20,2026-04,2481
TP,3775.06,8,2026-04-20,2026-04,2481
TP,2965.76,1,2026-04-20,2026-04,2404
TP,7965.76,2,2026-04-20,2026-04,2404
TP,12965.76,3,2026-04-20,2026-04,2404
TIMEOUT,-17034.24,5,2026-04-20,2026-04,2404
TIMEOUT,-17034.24,8,2026-04-20,2026-04,2404
TIMEOUT,-42425.44,1,2026-04-20,2026-04,8996
TIMEOUT,-42425.44,2,2026-04-20,2026-04,8996
TIMEOUT,-42425.44,3,2026-04-20,2026-04,8996
TIMEOUT,-42425.44,5,2026-04-20,2026-04,8996
TIMEOUT,-42425.44,8,2026-04-20,2026-04,8996
TP,2564.78,1,2026-04-20,2026-04,3163
TP,7564.780000000001,2,2026-04-20,2026-04,3163
TP,12564.78,3,2026-04-20,2026-04,3163
TP,22564.78,5,2026-04-20,2026-04,3163
TP,37564.78,8,2026-04-20,2026-04,3163
TP,2965.76,1,2026-04-20,2026-04,6781
TP,7965.76,2,2026-04-20,2026-04,6781
TP,12965.76,3,2026-04-20,2026-04,6781
TP,22965.76,5,2026-04-20,2026-04,6781
TIMEOUT,-32034.24,8,2026-04-20,2026-04,6781
TP,2535.4400000000005,1,2026-04-20,2026-04,1590
TP,7535.4400000000005,2,2026-04-20,2026-04,1590
TP,12535.44,3,2026-04-20,2026-04,1590
TP,22535.440000000002,5,2026-04-20,2026-04,1590
TP,37535.44,8,2026-04-20,2026-04,1590
TP,279.95000000000005,1,2026-04-20,2026-04,3045
TP,779.95,2,2026-04-20,2026-04,3045
TP,1279.95,3,2026-04-20,2026-04,3045
TP,2279.95,5,2026-04-20,2026-04,3045
TIMEOUT,779.95,8,2026-04-20,2026-04,3045
TP,183.128,1,2026-04-20,2026-04,2645
TP,683.1279999999999,2,2026-04-20,2026-04,2645
TP,1183.128,3,2026-04-20,2026-04,2645
TP,2183.128,5,2026-04-20,2026-04,2645
TP,3683.128,8,2026-04-20,2026-04,2645
TP,232.02800000000002,1,2026-04-20,2026-04,3231
TP,732.028,2,2026-04-20,2026-04,3231
TP,1232.028,3,2026-04-20,2026-04,3231
TP,2232.0280000000002,5,2026-04-20,2026-04,3231
TP,3732.0280000000002,8,2026-04-20,2026-04,3231
TP,268.214,1,2026-04-20,2026-04,5871
TP,768.2139999999999,2,2026-04-20,2026-04,5871
TP,1268.214,3,2026-04-20,2026-04,5871
TP,2268.214,5,2026-04-20,2026-04,5871
TIMEOUT,1268.214,8,2026-04-20,2026-04,5871
TP,189.97400000000005,1,2026-04-20,2026-04,1773
TP,689.974,2,2026-04-20,2026-04,1773
TP,1189.9740000000002,3,2026-04-20,2026-04,1773
TP,2189.974,5,2026-04-20,2026-04,1773
TP,3689.974,8,2026-04-20,2026-04,1773
TP,284.84000000000003,1,2026-04-20,2026-04,6919
TP,784.84,2,2026-04-20,2026-04,6919
TP,1284.84,3,2026-04-20,2026-04,6919
TP,2284.84,5,2026-04-20,2026-04,6919
TIMEOUT,-3715.16,8,2026-04-20,2026-04,6919
TP,2672.36,1,2026-04-20,2026-04,2368
TP,7672.360000000001,2,2026-04-20,2026-04,2368
TP,12672.36,3,2026-04-20,2026-04,2368
TP,22672.36,5,2026-04-20,2026-04,2368
TP,37672.36,8,2026-04-20,2026-04,2368
TP,109.77800000000002,1,2026-04-20,2026-04,1503
TP,609.778,2,2026-04-20,2026-04,1503
TIMEOUT,-5390.222,3,2026-04-20,2026-04,1503
TIMEOUT,-5390.222,5,2026-04-20,2026-04,1503
TIMEOUT,-5390.222,8,2026-04-20,2026-04,1503
TP,231.05,1,2026-04-20,2026-04,2412
TIMEOUT,-768.95,2,2026-04-20,2026-04,2412
TIMEOUT,-768.95,3,2026-04-20,2026-04,2412
TIMEOUT,-768.95,5,2026-04-20,2026-04,2412
TIMEOUT,-768.95,8,2026-04-20,2026-04,2412
TP,2965.76,1,2026-04-20,2026-04,8210
TIMEOUT,-22034.24,2,2026-04-20,2026-04,8210
TIMEOUT,-22034.24,3,2026-04-20,2026-04,8210
